,participant_id,status,topic,response
1656,2375,niwi,parking,-2
1657,2377,niwi,parking,1
1658,2378,wimi,parking,2
1659,2379,other,parking,-2
1660,2380,niwi,parking,-1
1661,2382,niwi,parking,-1
1662,2383,student,parking,-2
1663,2384,prof,parking,-2
1664,2385,student,parking,-1
1665,2386,niwi,parking,-2
1666,2387,student,parking,-2
1667,2388,student,parking,-1
1668,2389,niwi,parking,-2
1669,2390,niwi,parking,-1
1670,2391,student,parking,-1
1671,2392,wimi,parking,-1
1672,2393,student,parking,no_opinion
1673,2394,student,parking,2
1674,2398,student,parking,-1
1675,2399,student,parking,-1
1676,2400,student,parking,0
1677,2401,niwi,parking,-1
1678,2404,wimi,parking,-1
1679,2405,student,parking,0
1680,2407,student,parking,no_opinion
1681,2409,student,parking,-1
1682,2410,niwi,parking,-2
1683,2411,student,parking,no_opinion
1684,2412,student,parking,-2
1685,2413,student,parking,-1
1686,2414,student,parking,no_opinion
1687,2418,other,parking,no_opinion
1688,2419,student,parking,no_opinion
1689,2420,student,parking,no_opinion
1690,2422,niwi,parking,-1
1691,2423,prof,parking,-2
1692,2424,niwi,parking,0
1693,2425,student,parking,no_opinion
1694,2426,student,parking,2
1695,2427,niwi,parking,-1
1696,2429,niwi,parking,1
1697,2430,niwi,parking,-1
1698,2431,niwi,parking,-1
1699,2433,wimi,parking,1
1700,2434,student,parking,1
1701,2435,niwi,parking,-2
1702,2436,student,parking,1
1703,2437,niwi,parking,-2
1704,2440,student,parking,-1
1705,2441,niwi,parking,-1
1706,2442,student,parking,no_opinion
1707,2443,niwi,parking,-1
1708,2445,niwi,parking,0
1709,2446,other,parking,-1
1710,2447,student,parking,-2
1711,2448,niwi,parking,0
1712,2449,student,parking,-1
1713,2450,niwi,parking,2
1714,2451,niwi,parking,no_opinion
1715,2452,student,parking,no_opinion
1716,2453,niwi,parking,1
1717,2454,wimi,parking,0
1718,2457,niwi,parking,-1
1719,2458,niwi,parking,-2
1720,2459,wimi,parking,-1
1721,2460,niwi,parking,-1
1722,2461,student,parking,no_opinion
1723,2462,wimi,parking,1
1724,2463,niwi,parking,0
1725,2465,student,parking,no_opinion
1726,2466,niwi,parking,-1
1727,2467,student,parking,-1
1728,2470,student,parking,no_opinion
1729,2471,niwi,parking,-1
1730,2472,student,parking,-2
1731,2473,niwi,parking,0
1732,2474,student,parking,no_opinion
1733,2475,niwi,parking,2
1734,2476,student,parking,no_opinion
1735,2479,student,parking,no_opinion
1736,2480,student,parking,no_opinion
1737,2481,niwi,parking,-1
1738,2482,wimi,parking,0
1739,2483,niwi,parking,no_opinion
1740,2484,student,parking,1
1741,2485,student,parking,no_opinion
1742,2486,niwi,parking,no_opinion
