,participant_id,status,topic,response
1400,2033,prof,deutschlandticket,Ja
1401,2034,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1402,2035,student,deutschlandticket,
1403,2036,student,deutschlandticket,
1404,2037,student,deutschlandticket,
1405,2040,student,deutschlandticket,
1406,2041,student,deutschlandticket,
1407,2042,other,deutschlandticket,Kommt darauf an...
1408,2043,student,deutschlandticket,
1409,2044,student,deutschlandticket,Kommt darauf an...
1410,2045,student,deutschlandticket,
1411,2047,student,deutschlandticket,
1412,2048,student,deutschlandticket,
1413,2049,student,deutschlandticket,
1414,2050,student,deutschlandticket,
1415,2055,student,deutschlandticket,
1416,2056,student,deutschlandticket,
1417,2057,student,deutschlandticket,
1418,2058,wimi,deutschlandticket,Nein
1419,2059,student,deutschlandticket,
1420,2060,student,deutschlandticket,
1421,2061,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1422,2062,student,deutschlandticket,
1423,2064,student,deutschlandticket,
1424,2065,wimi,deutschlandticket,Nein
1425,2066,student,deutschlandticket,
1426,2067,student,deutschlandticket,
1427,2068,student,deutschlandticket,
1428,2069,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1429,2070,student,deutschlandticket,
1430,2071,student,deutschlandticket,
1431,2072,student,deutschlandticket,
1432,2073,student,deutschlandticket,
1433,2074,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1434,2075,student,deutschlandticket,
1435,2076,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1436,2077,student,deutschlandticket,
1437,2079,student,deutschlandticket,
1438,2080,student,deutschlandticket,
1439,2081,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1440,2082,other,deutschlandticket,Ja
1441,2083,student,deutschlandticket,
1442,2084,student,deutschlandticket,
1443,2085,student,deutschlandticket,
1444,2086,student,deutschlandticket,
1445,2087,student,deutschlandticket,
1446,2089,wimi,deutschlandticket,Ja
1447,2090,niwi,deutschlandticket,Ja
1448,2091,student,deutschlandticket,
1449,2092,student,deutschlandticket,
1450,2093,student,deutschlandticket,
1451,2094,prof,deutschlandticket,Ja
1452,2095,student,deutschlandticket,
1453,2096,student,deutschlandticket,
1454,2097,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1455,2098,student,deutschlandticket,
1456,2099,student,deutschlandticket,
