,participant_id,status,main_vehicle,topic,response
4386,3063,student,bicycle,present,2
4387,3063,student,bicycle,future,2
4388,3066,student,bus,present,1
4389,3066,student,bus,future,1
4390,3067,other,car-driver,present,-2
4391,3067,other,car-driver,future,1
4392,3068,student,bus,present,2
4393,3068,student,bus,future,no_opinion
4394,3069,student,car-driver,present,0
4395,3069,student,car-driver,future,-1
4396,3071,student,train-far,present,1
4397,3071,student,train-far,future,-1
4398,3073,student,train-short,present,2
4399,3073,student,train-short,future,-2
4400,3074,student,bus,present,1
4401,3074,student,bus,future,-1
4402,3075,student,car-driver,present,-2
4403,3075,student,car-driver,future,-2
4404,3076,student,car-driver,present,-1
4405,3076,student,car-driver,future,-1
4406,3077,student,car-driver,present,-1
4407,3077,student,car-driver,future,-1
4408,3078,student,train-short,present,2
4409,3078,student,train-short,future,-1
4410,3082,student,bus,present,2
4411,3082,student,bus,future,-1
4412,3083,student,train-short,present,2
4413,3083,student,train-short,future,-2
4414,3084,student,bus,present,1
4415,3084,student,bus,future,2
4416,3088,student,bus,present,2
4417,3088,student,bus,future,1
4418,3089,prof,bicycle,present,2
4419,3089,prof,bicycle,future,no_opinion
4420,3091,student,train-short,present,1
4421,3091,student,train-short,future,-1
4422,3093,wimi,bicycle,present,1
4423,3093,wimi,bicycle,future,2
4424,3094,student,car-passenger,present,1
4425,3094,student,car-passenger,future,0
4426,3095,student,car-driver,present,-1
4427,3095,student,car-driver,future,1
4428,3096,student,bicycle,present,2
4429,3096,student,bicycle,future,-2
4430,3097,other,bus,present,1
4431,3097,other,bus,future,1
4432,3098,student,car-driver,present,2
4433,3098,student,car-driver,future,2
4434,3102,student,train-short,present,1
4435,3102,student,train-short,future,no_answer
4436,3104,student,car-driver,present,1
4437,3104,student,car-driver,future,1
4438,3106,student,walk,present,1
4439,3106,student,walk,future,-1
4440,3107,student,train-short,present,-1
4441,3107,student,train-short,future,1
4442,3108,student,train-short,present,1
4443,3108,student,train-short,future,-1
4444,3110,wimi,car-driver,present,-2
4445,3110,wimi,car-driver,future,no_opinion
4446,3111,student,bus,present,1
4447,3111,student,bus,future,-1
4448,3113,student,bus,present,2
4449,3113,student,bus,future,-2
4450,3114,student,bus,present,1
4451,3114,student,bus,future,1
4452,3117,student,bicycle,present,2
4453,3117,student,bicycle,future,-2
4454,3118,student,walk,present,2
4455,3118,student,walk,future,0
4456,3119,student,bus,present,0
4457,3119,student,bus,future,0
4458,3120,student,car-driver,present,2
4459,3120,student,car-driver,future,0
4460,3121,student,bus,present,2
4461,3121,student,bus,future,-1
4462,3122,student,train-short,present,2
4463,3122,student,train-short,future,-1
4464,3123,student,car-driver,present,-2
4465,3123,student,car-driver,future,-2
4466,3125,student,bus,present,-1
4467,3125,student,bus,future,0
4468,3127,student,bus,present,1
4469,3127,student,bus,future,0
4470,3128,student,train-far,present,0
4471,3128,student,train-far,future,0
4472,3130,niwi,car-driver,present,2
4473,3130,niwi,car-driver,future,-2
4474,3131,student,car-driver,present,-1
4475,3131,student,car-driver,future,-1
4476,3132,student,,present,2
